"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Eku","ToA","34","Medium","Celestial","lawful good","19 (natural armor)","97 (13d8 + 39)","30 ft., Fly 90 ft.","16","20","17","18","20","18","Con +5, Wis +7, Cha +6","","","radiant","psychic; bludgeoning, piercing, and slashing from nonmagical attacks","","Truesight 120 ft., passive Perception 15","All, telepathy 120 ft.","4 (XP 1,100; PB +2)","Innate Spellcasting. Eku's spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components:

At will: detect evil and good, detect magic, detect thoughts

3/day each: bless, create food and water, cure wounds, lesser restoration, protection from poison, sanctuary, shield

1/day each: dream, greater restoration, scrying

Magic Weapons. Eku's weapon attacks are magical.

Shielded Mind. Eku is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location.","Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one creature. Hit: 8 (1d6 + 5) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious. Another creature can use an action to shake the target awake.

Constrict. Melee Weapon Attack: +6 to hit, reach 10 ft., one Medium or smaller creature. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 15). Until this grapple ends, the target is restrained, and Eku can't constrict another target.

Change Shape. Eku magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (Eku's choice).

In a new form, Eku retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and other actions are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks. If the new form has a bite attack, Eku can use its bite in that form.","","","","","","","",""
"Elok Jaharwon","ToA","67","Medium","Humanoid (Human, Shapechanger)","neutral evil","10 in humanoid form, 11 (natural armor) in boar or hybrid form","78 (12d8 + 24)","30 ft. (40 ft. in boar form)","17","10","15","10","11","8","","Perception +2","","","bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","","passive Perception 12","Common (can't speak in boar form)","4 (XP 1,100; PB +2)","Shapechanger. Elok can use its action to polymorph into a boar-humanoid hybrid or into a boar, or back into its true form, which is humanoid. Its statistics, other than its AC, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.

Relentless (Recharges after a Short or Long Rest). If Elok takes 14 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead.

Charge (Boar or Hybrid Form Only). If Elok moves at least 15 feet straight toward a target and then hits it with its tusks on the same turn, the target takes an extra 7 (2d6) slashing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.","Multiattack (Humanoid or Hybrid Form Only). Elok makes two attacks, only one of which can be with its tusks.

Maul (Humanoid or Hybrid Form Only). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage.

Tusks (Boar or Hybrid Form Only). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage. If the target is a humanoid, it must succeed on a DC 12 Constitution saving throw or be cursed with wereboar lycanthropy.","","","","","","","",""
"Faroul","ToA","34","Medium","Humanoid (Human)","neutral good","13 (leather armor)","16 (3d8 + 3)","30 ft.","11","14","12","11","13","11","","Nature +4, Perception +5, Stealth +6, Survival +5","","","","","passive Perception 15","Any one language (usually Common)","1/2 (XP 100; PB +2)","Keen Hearing and Sight. Faroul has advantage on Wisdom (Perception) checks that rely on hearing or sight.","Multiattack. Faroul makes two melee attacks or two ranged attacks.

Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.

Longbow. Ranged Weapon Attack: +4 to hit, ranged 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.","","","","","","","",""
"Fenthaza","ToA","113","Medium","Monstrosity (Shapechanger, Yuan-Ti)","neutral evil","14 (natural armor)","71 (13d8 + 13)","30 ft.","16","14","13","14","12","16","Wis +3, Cha +5","Deception +5, Stealth +4","","","poison","poisoned","Darkvision 120 ft. (penetrates magical darkness), passive Perception 11","Abyssal, Common, Draconic","4 (XP 1,100; PB +2)","Shapechanger. Fenthaza can use its action to polymorph into a Medium snake or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed. If it dies, it stays in its current form.

Death Fangs (2/Day). The first time Fenthaza hits with a melee attack on its turn, it can deal an extra 16 (3d10) necrotic damage to the target.

Magic Resistance. Fenthaza has advantage on saving throws against spells and other magical effects.

Innate Spellcasting (Yuan-ti Form Only). Fenthaza's innate spellcasting ability is Charisma (spell save DC 13). Fenthaza can innately cast the following spells, requiring no material components:

At will: animal friendship (snakes only)

3/day: suggestion

Spellcasting (Yuan-ti Form Only). Fenthaza is a 6th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). It regains its expended spell slots when it finishes a short or long rest. It knows the following warlock spells:

Cantrips (at will): chill touch, eldritch blast (range 300 ft., +3 bonus to each damage roll), mage hand, message, poison spray, prestidigitation

1st-3rd level (2 3rd-level slots): arms of Hadar, darkness, fear, hex, hold person, hunger of Hadar, witch bolt","Multiattack (Yuan-ti Form Only). Fenthaza makes one constrict attack and one scimitar attack.

Constrict. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 14) if it is a Large or smaller creature. Until this grapple ends, the target is restrained, and Fenthaza can't constrict another target.

Scimitar (Yuan-ti Form Only). Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Invoke Nightmare (Recharges after a Short or Long Rest). Fenthaza taps into the nightmares of a creature it can see within 60 feet of it and creates an illusory, immobile manifestation of the creature's deepest fears, visible only to that creature. The target must make a DC 13 Intelligence saving throw. On a failed save, the target takes 11 (2d10) psychic damage and is frightened of the manifestation, believing it to be real. Fenthaza must concentrate to maintain the illusion (as if concentrating on a spell), which lasts for up to 1 minute and can't be harmed. The target can repeat the saving throw at the end of each of its turns, ending the illusion on a success, or taking 11 (2d10) psychic damage on a failure.","","","","","","","",""
"Firenewt Warrior","MPMM","125","Medium","Elemental","neutral","13 (shield)","27 (5d8 + 5)","30 ft.","10","13","12","7","11","8","","","","","fire","","passive Perception 10","Draconic, Ignan","1/2 (XP 100; PB +2)","Amphibious. The firenewt can breathe air and water.","Multiattack. The firenewt makes two Scimitar attacks.

Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage.

Spit Fire (Recharges after a Short or Long Rest). The firenewt spits fire at a creature within 10 feet of it. The creature must make a DC 11 Dexterity saving throw, taking 9 (2d8) fire damage on a failed save, or half as much damage on a successful one.","","","","","","","Desert, Hill, Mountain, Underdark",""
"Flask of Wine","ToA","35","Medium","Humanoid (Tabaxi)","chaotic good","14 (leather armor)","40 (9d8)","30 ft., Climb 20 ft.","10","17","11","13","14","15","","Athletics +2, Perception +4, Stealth +5, Survival +6","","","","","Darkvision 60 ft., passive Perception 14","Common plus any one language","1 (XP 200; PB +2)","Feline Agility. When Flask of Wine moves on its turn in combat, it can double its speed until the end of the turn. Once it uses this ability, Flask of Wine can't use it again until it moves 0 feet on one of its turns.","Multiattack. Flask of Wine makes two attacks with its claws, its shortsword, or its shortbow.

Claws. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) slashing damage.

Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","","","","","","","",""
"Flying Monkey","ToA","220","Small","Beast","unaligned","12","3 (1d6)","30 ft., Climb 20 ft., Fly 30 ft.","8","14","11","5","12","6","","","","","","","passive Perception 11","—","0 (XP 10; PB +2)","Familiar. With the DM's permission, the find familiar spell can summon a flying monkey.

Pack Tactics. The flying monkey has advantage on an attack roll against a creature if at least one of the monkey's allies is within 5 feet of the creature and the ally isn't incapacitated.","Bite. Melee Weapon Attack: +1 to hit, reach 5 ft., one target Hit: 1 (1d4 - 1) piercing damage.","","","","","","","",""
"Froghemoth","MPMM","130","Huge","Monstrosity","unaligned","14 (natural armor)","161 (14d12 + 70)","30 ft., Swim 30 ft.","23","13","20","2","12","5","Con +9, Wis +5","Perception +9, Stealth +5","","fire, lightning","","","Darkvision 60 ft., passive Perception 19","—","10 (XP 5,900; PB +4)","Amphibious. The froghemoth can breathe air and water.

Shock Susceptibility. If the froghemoth takes lightning damage, it suffers two effects until the end of its next turn: its speed is halved, and it has disadvantage on Dexterity saving throws.","Multiattack. The froghemoth makes one Bite attack and two Tentacle attacks, and it can use Tongue.

Bite. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 22 (3d10 + 6) piercing damage, and the target is swallowed if it is a Medium or smaller creature. A swallowed creature is blinded and restrained, has total cover against attacks and other effects outside the froghemoth, and takes 10 (3d6) acid damage at the start of each of the froghemoth's turns.

The froghemoth's gullet can hold up to two creatures at a time. If the froghemoth takes 20 damage or more on a single turn from a creature inside it, the froghemoth must succeed on a DC 20 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, each of which falls prone in a space within 10 feet of the froghemoth. If the froghemoth dies, any swallowed creature is no longer restrained by it and can escape from the corpse using 10 feet of movement, exiting prone.

Tentacle. Melee Weapon Attack: +10 to hit, reach 20 ft., one target. Hit: 19 (3d8 + 6) bludgeoning damage, and the target is grappled (escape DC 16) if it is a Huge or smaller creature. Until the grapple ends, the froghemoth can't use this tentacle on another target. The froghemoth has four tentacles.

Tongue. The froghemoth targets one Medium or smaller creature that it can see within 20 feet of it. The target must make a DC 18 Strength saving throw. On a failed save, the target is pulled into an unoccupied space within 5 feet of the froghemoth.","","","","","","","Swamp, Underdark",""
"Giant Four-Armed Gargoyle","ToA","221","Large","Elemental","chaotic evil","17 (natural armor)","147 (14d10 + 70)","30 ft., Fly 60 ft.","19","11","20","6","11","9","Wis +4","Perception +4","","bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons","poison","exhaustion, petrified, poisoned","Darkvision 60 ft., passive Perception 14","Terran","10 (XP 5,900; PB +4)","False Appearance. While the gargoyle remains motionless, it is indistinguishable from an inanimate statue.","Multiattack. The gargoyle makes five attacks: one with its bite and four with its claws.

Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.

Claw. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 9 (2d4 + 4) slashing damage.","","","","","","","",""
"Giant Snapping Turtle","ToA","222","Large","Beast","unaligned","17 (natural armor), 12 while prone","75 (10d10 + 20)","30 ft., Swim 40 ft.","19","10","14","2","12","5","","","","","","","Darkvision 60 ft., passive Perception 11","—","3 (XP 700; PB +2)","Amphibious. The turtle can breathe air and water.

Stable. Whenever an effect knocks the turtle prone, it can make a DC 10 Constitution saving throw to avoid being knocked prone. A prone turtle is upside down. To stand up, it must succeed on a DC 10 Dexterity check on its turn and then use all its movement for that turn.","Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 18 (4d6 + 4) slashing damage.","","","","","","","",""
"Giant Strider","MPMM","137","Large","Elemental","unaligned","14 (natural armor)","22 (3d10 + 6)","50 ft.","18","13","14","4","12","6","","","","","fire","","passive Perception 11","—","1 (XP 200; PB +2)","Fire Absorption. Whenever the giant strider is subjected to fire damage, it takes no damage and regains a number of hit points equal to half the fire damage dealt.","Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.

Fire Burst (Recharge 5–6). The giant strider hurls a gout of flame at a point it can see within 60 feet of it. Each creature in a 10-foot-radius sphere centered on that point must make a DC 12 Dexterity saving throw, taking 14 (4d6) fire damage on a failed save, or half as much damage on a successful one. The fire spreads around corners, and it ignites flammable objects in that area that aren't being worn or carried","","","","","","","Hill, Mountain, Underdark",""
"Girallon Zombie","ToA","240","Large","Undead","chaotic evil","11 (natural armor)","59 (7d10 + 21)","30 ft., Climb 30 ft.","18","12","16","3","7","5","","","","","poison","poisoned","Darkvision 60 ft., passive Perception 8","—","3 (XP 700; PB +2)","Aggressive. As a bonus action, the zombie can move up to its speed toward a hostile creature that it can see.

Undead Fortitude. If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.","Multiattack. The zombie makes five attacks: one with its bite and four with its claws.

Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage.

Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) slashing damage.","","","","","","","",""
"Gondolo","ToA","34","Small","Humanoid (Halfling)","chaotic good","13 (leather armor)","13 (3d6 + 3)","25 ft.","11","14","12","11","13","11","","Nature +4, Perception +5, Stealth +6, Survival +5","","poison","","","passive Perception 15","Any one language (usually Common), Halfling","1/2 (XP 100; PB +2)","Brave. Gondolo has advantage on saving throws against being frightened.

Halfling Nimbleness. Gondolo can move through a space of a Medium or larger creature.

Keen Hearing and Sight. Gondolo has advantage on Wisdom (Perception) checks that rely on hearing or sight.

Stout Resilience. Gondolo has advantage on saving throws against poison.","Multiattack. Gondolo makes two melee attacks or two ranged attacks.

Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.

Longbow. Ranged Weapon Attack: +4 to hit, ranged 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.","","","","","","","",""
"Grabstab","ToA","89","Small","Humanoid (Goblinoid)","neutral evil","17 (chain shirt, shield)","21 (6d6)","30 ft.","10","14","10","10","8","10","","Stealth +6","","","","","Darkvision 60 ft., passive Perception 9","Common, Goblin","1 (XP 200; PB +2)","Nimble Escape. Grabstab can take the Disengage or Hide action as a bonus action on each of its turns.","Multiattack. Grabstab makes two attacks with its scimitar. The second attack has disadvantage.

Scimitar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.

Javelin. Melee or Ranged Weapon Attack: +2 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 3 (1d6) piercing damage.","","Redirect Attack. When a creature Grabstab can see targets it with an attack, Grabstab chooses another goblin within 5 feet of it. The two goblins swap places, and the chosen goblin becomes the target instead.","","","","","",""
"Grandfather Zitembe","ToA","20","Medium","Humanoid (Human)","lawful good","13 (chain shirt)","27 (5d8 + 5)","30 ft.","10","10","12","13","16","13","","Medicine +7, Persuasion +3, Religion +5","","","","","passive Perception 13","Any two languages","2 (XP 450; PB +2)","Divine Eminence. As a bonus action, Zitembe can expend a spell slot to cause its melee weapon attacks to magically deal an extra 10 (3d6) radiant damage to a target on a hit. This benefit lasts until the end of the turn. If Zitembe expends a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each level above 1st.

Spellcasting. Zitembe is a 5th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 13, +5 to hit with spell attacks). Zitembe has the following cleric spells prepared:

Cantrips (at will): light, sacred flame, thaumaturgy

1st level (4 slots): cure wounds, guiding bolt, sanctuary

2nd level (3 slots): lesser restoration, spiritual weapon

3rd level (2 slots): dispel magic, spirit guardians","Mace. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage.","","","","","","","",""
"Grung","MPMM","149","Small","Humanoid","any alignment","12","11 (2d6 + 4)","25 ft., Climb 25 ft.","7","14","15","10","11","10","Dex +4","Athletics +2, Perception +2, Stealth +4, Survival +2","","","poison","poisoned","passive Perception 12","Grung","1/4 (XP 50; PB +2)","Amphibious. The grung can breathe air and water.

Poisonous Skin. Any creature that grapples the grung or otherwise comes into direct contact with the grung's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with the grung can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.

Standing Leap. The grung's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start.

Water Dependency. If the grung isn't immersed in water for at least 1 hour during a day, it suffers 1 level of exhaustion at the end of that day. The grung can recover from this exhaustion only through magic or by immersing itself in water for at least 1 hour.","Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage plus 5 (2d4) poison damage.","","","","","","","Forest",""
"Grung Elite Warrior","MPMM","150","Small","Humanoid","any alignment","13","49 (9d6 + 18)","25 ft., Climb 25 ft.","7","16","15","10","11","12","Dex +5","Athletics +2, Perception +2, Stealth +5, Survival +2","","","poison","poisoned","passive Perception 12","Grung","2 (XP 450; PB +2)","Amphibious. The grung can breathe air and water.

Poisonous Skin. Any creature that grapples the grung or otherwise comes into direct contact with the grung's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with the grung can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.

Standing Leap. The grung's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start.

Water Dependency. If the grung isn't immersed in water for at least 1 hour during a day, it suffers 1 level of exhaustion at the end of that day. The grung can recover from this exhaustion only through magic or by immersing itself in water for at least 1 hour.","Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage plus 5 (2d4) poison damage.

Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage plus 5 (2d4) poison damage.

Mesmerizing Chirr (Recharge 6). The grung makes a chirring noise to which grungs are immune. Each Humanoid or Beast that is within 15 feet of the grung and able to hear it must succeed on a DC 12 Wisdom saving throw or be stunned until the end of the grung's next turn.","","","","","","","Forest",""
"Grung Wildling","MPMM","150","Small","Humanoid","any alignment","16 (natural armor)","27 (5d6 + 10)","25 ft., Climb 25 ft.","7","16","15","10","15","11","Dex +5","Athletics +2, Perception +4, Stealth +5, Survival +4","","","poison","poisoned","passive Perception 14","Grung","1 (XP 200; PB +2)","Amphibious. The grung can breathe air and water.

Poisonous Skin. Any creature that grapples the grung or otherwise comes into direct contact with the grung's skin must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. A poisoned creature no longer in direct contact with the grung can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.

Standing Leap. The grung's long jump is up to 25 feet and its high jump is up to 15 feet, with or without a running start.

Water Dependency. If the grung isn't immersed in water for at least 1 hour during a day, it suffers 1 level of exhaustion at the end of that day. The grung can recover from this exhaustion only through magic or by immersing itself in water for at least 1 hour.","Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage plus 5 (2d4) poison damage.

Shortbow. Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage plus 5 (2d4) poison damage.

Spellcasting. The grung casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 12):

At will: druidcraft

3/day each: cure wounds, spike growth

2/day: plant growth","","","","","","","Forest",""
"Hadrosaurus","MPMM","96","Large","Beast (Dinosaur)","unaligned","11 (natural armor)","19 (3d10 + 3)","40 ft.","15","10","13","2","10","5","","Perception +2","","","","","passive Perception 12","—","1/4 (XP 50; PB +2)","","Tail. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) bludgeoning damage.","","","","","","","Grassland, Swamp",""
"Hew Hackinstone","ToA","33","Medium","Humanoid (Dwarf)","chaotic neutral","13 (hide armor)","67 (9d8 + 27)","30 ft.","16","12","17","9","11","9","","Survival +4","","poison","","","Darkvision 60 ft., passive Perception 10","Any one language (usually Common)","2 (XP 450; PB +2)","Dwarven Resilience. Hew has resistance to poison damage and advantage on saving throws against being poisoned.

Reckless. At the start of his turn, Hew can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against him have advantage until the start of his next turn.","Battleaxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.","","","","","","","",""
"Jaculi","ToA","225","Large","Beast","unaligned","14 (natural armor)","16 (3d10)","30 ft., Climb 20 ft.","15","14","11","2","8","3","","Athletics +4, Perception +1, Stealth +4","","","","","Blindsight 30 ft., passive Perception 11","—","1/2 (XP 100; PB +2)","Camouflage. The jaculi has advantage on Dexterity (Stealth) checks made to hide.

Keen Smell. The jaculi has advantage on Wisdom (Perception) checks that rely on smell.","Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.

Spring. The jaculi springs up to 30 feet in a straight line and makes a bite attack against a target within its reach. This attack has advantage if the jaculi springs at least 10 feet. If the attack hits, the bite deals an extra 7 (2d6) piercing damage.","","","","","","","",""
"Jessamine","ToA","26","Medium","Humanoid (Human)","neutral","15 (studded leather)","58 (12d8 + 24)","30 ft.","11","16","14","13","11","10","Dex +6, Int +4","Acrobatics +6, Deception +3, Perception +3, Stealth +9","","poison","","","passive Perception 13","Thieves' cant plus any two languages","8 (XP 3,900; PB +3)","Assassinate. During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit.

Evasion. If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.

Sneak Attack (1/Turn). The assassin deals an extra 14 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll.","Multiattack. The assassin makes two shortsword attacks.

Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.

Light Crossbow. Ranged Weapon Attack: +6 to hit, range 80/320 ft., one target. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.","","","","","","","",""
"Jobal","ToA","26","Medium","Humanoid (Human)","neutral evil","13 (leather armor)","16 (3d8 + 3)","30 ft.","11","14","12","11","13","11","","Nature +4, Perception +5, Stealth +6, Survival +5","","","","","passive Perception 15","Any one language (usually Common)","1/2 (XP 100; PB +2)","Keen Hearing and Sight. Jobal has advantage on Wisdom (Perception) checks that rely on hearing or sight.","Multiattack. Jobal makes two melee attacks or two ranged attacks.

Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.

Longbow. Ranged Weapon Attack: +4 to hit, ranged 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.","","","","","","","",""
"Kamadan","ToA","225","Large","Monstrosity","unaligned","13 (natural armor)","67 (9d10 + 18)","30 ft.","16","16","14","3","14","10","","Perception +4, Stealth +7","","","","","passive Perception 14","—","4 (XP 1,100; PB +2)","Keen Smell. The kamadan has advantage on Wisdom (Perception) checks that rely on smell.

Pounce. If the kamadan moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is knocked prone, the kamadan can make two attacks—one with its bite and one with its snakes—against it as a bonus action.","Multiattack. The kamadan makes two attacks: one with its bite or claw and one with its snakes.

Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.

Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.

Snakes. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d6 + 3) piercing damage, and the target must make a DC 12 Constitution saving throw, taking 21 (6d6) poison damage on a failed save, or half as much damage on a successful one.

Sleep Breath (Recharges after a Short or Long Rest). The kamadan exhales sleep gas in a 30-foot cone. Each creature in that area must succeed on a DC 12 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if it takes damage or someone uses an action to wake it.","","","","","","","",""
"Kobold Inventor","MPMM","164","Small","Humanoid","any alignment","12","13 (3d6 + 3)","30 ft.","7","15","12","14","10","8","","","","","","","Darkvision 60 ft., passive Perception 10","Common, Draconic","1/4 (XP 50; PB +2)","Pack Tactics. The kobold has advantage on an attack roll against a creature if at least one of the kobold's allies is within 5 feet of the creature and the ally isn't incapacitated.

Sunlight Sensitivity. While in sunlight, the kobold has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.

Sling. Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage.

Weapon Invention. The kobold uses one of the following options (choose one or roll a d8); the kobold can use each one no more than once per day:

1: Acid. The kobold hurls a flask of acid. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 7 (2d6) acid damage.

2: Alchemist's Fire. The kobold throws a flask of alchemist's fire. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 2 (1d4) fire damage at the start of each of the target's turns. The target can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames.

3: Basket of Centipedes. The kobold throws a small basket into a 5-foot-square space within 20 feet of it. A swarm of insects (centipedes) with 11 hit points emerges from the basket and rolls initiative. At the end of each of the swarm's turns, there's a 50 percent chance that the swarm disperses.

4: Green Slime Pot. The kobold throws a clay pot full of green slime at the target, and it breaks open on impact. Ranged Weapon Attack: +4 to hit, range 5/20 ft., one target. Hit: 5 (1d10) acid damage, and the target is covered in slime until a creature uses its action to scrape or wash the slime off. A target covered in the slime takes 5 (1d10) acid damage at the start of each of its turns.

5: Rot Grub Pot. The kobold throws a clay pot into a 5-foot-square space within 20 feet of it, and it breaks open on impact. A swarm of rot grubs (in this book) emerges from the shattered pot and remains a hazard in that square.

6: Scorpion on a Stick. The kobold makes a melee attack with a scorpion tied to the end of a 5-foot-long pole. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage, and the target must make a DC 9 Constitution saving throw, taking 4 (1d8) poison damage on a failed save, or half as much damage on a successful one.

7: Skunk in a Cage. The kobold releases a skunk into an unoccupied space within 5 feet of it. The skunk has a walking speed of 20 feet, AC 10, 1 hit point, and no effective attacks. It rolls initiative and, on its turn, uses its action to spray musk at a random creature within 5 feet of it. The target must succeed on a DC 9 Constitution saving throw, or it retches and is incapacitated for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. A creature that doesn't need to breathe or is immune to poison automatically succeeds on the saving throw. Once the skunk has sprayed its musk, it can't do so again until it finishes a short or long rest.

8: Wasp Nest in a Bag. The kobold throws a small bag into a 5-foot-square space within 20 feet of it. A swarm of insects (wasps) with 11 hit points emerges from the bag and rolls initiative. At the end of each of the swarm's turns, there's a 50 percent chance that the swarm disperses.","","","","","","","Forest, Hill, Mountain, Underdark, Urban",""
